Id,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,C.C..non.aromatic.,C.C.C.O.in.non.aromatic.ring,hydroxyl..alkyl.,aldehyde,ketone,carboxylic.acid,ester,ether..alicyclic.,nitrate,nitro,aromatic.hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester,parentspecies_apin,parentspecies_apin_decane,parentspecies_apin_decane_toluene,parentspecies_apin_toluene,parentspecies_decane,parentspecies_decane_toluene,parentspecies_toluene,log10_pSat_Pa
0,-4.701921419422331,-4.2422724350316265,-4.036712139796888,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.807517771623312
1,-3.7996472337576472,-3.8606503134559502,-4.036712139796888,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.012656385629028
2,-3.2381479589376503,-3.4790281918802743,-3.347925200557764,4,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.130898787864513
3,-2.917334944079534,-3.2882171310924364,-3.347925200557764,5,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3831508538961748
4,-2.5965219292214177,-3.097406070304598,-3.347925200557764,6,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.4988024754994127
5,-2.355835669259537,-2.90659500951676,-2.65913826131864,6,1,1,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0280219376959487
6,-2.0350226544014207,-2.715783948728922,-2.65913826131864,7,1,1,6,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.8294903185385225
7,-0.6309095718582062,-1.3801065232140564,-0.5927774436012687,9,1,2,97,22,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.481892070403472
9,-0.6706080538131022,-0.9984844016383804,0.096009495637855,8,1,1,50,16,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.948477932475681
10,-0.3497950389549855,-0.8076733408505423,0.096009495637855,9,1,1,54,27,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.1479853206838051
11,-0.6309095718582062,-1.3801065232140564,-0.5927774436012687,9,1,2,118,30,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.1053147334849258
12,-0.5904812989168657,-0.9984844016383804,-0.5927774436012687,9,1,3,258,32,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.226845046717582
13,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,3,465,37,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-5.148184496429823
14,-1.7539081214982,-2.1433507663654083,-1.9703513220795164,7,1,1,21,17,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.4659476617649383
15,-0.9112943137749824,-1.1892954624262182,-0.5927774436012687,8,1,1,63,39,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.1067820598361015
16,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,3,442,40,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-3.833945949009994
17,0.8732921615678142,-0.2352401584870283,0.096009495637855,12,2,1,86,40,0,0,1,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.047182759303713
18,0.2918309907612478,-0.4260512192748663,0.096009495637855,11,1,2,189,40,0,0,1,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-2.27246206118915
19,-0.9517225867163228,-1.5709175840018943,-0.5927774436012687,8,1,1,7,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1.1010787156725887
20,-0.9517225867163228,-1.5709175840018943,-0.5927774436012687,8,1,0,7,7,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.7260177439222522
21,-0.3100965570000895,-1.1892954624262182,-0.5927774436012687,10,1,1,36,21,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1.0567143295163943
22,-0.8715958318200864,-1.5709175840018943,-1.2815643828403924,9,1,1,25,21,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.4504030861553663
24,0.632605901605934,-0.4260512192748663,-0.5927774436012687,12,2,1,228,40,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.8294035139311832
26,-0.5904812989168657,-0.9984844016383804,-0.5927774436012687,9,1,1,55,38,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0362295440862945
27,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,2,134,40,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,-1.6421930982364612
28,0.0511447307993675,-0.6168622800627043,-0.5927774436012687,11,1,2,70,13,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-0.67111717372172
29,0.9534189164640512,-0.2352401584870283,-0.5927774436012687,13,2,1,85,40,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0.3356584522893015
